Year,ISO_Code,Temperature,Humidity,Wind_Speed,Solar_Radiation,Temp_Lag1,Humidity_Lag1,Wind_Lag1,Solar_Lag1,Temp_Lag2,Humidity_Lag2,Wind_Lag2,Solar_Lag2,Temp_Lag3,Humidity_Lag3,Wind_Lag3,Solar_Lag3,Temp_Lag4,Humidity_Lag4,Wind_Lag4,Solar_Lag4,Temp_Lag5,Humidity_Lag5,Wind_Lag5,Solar_Lag5
2002,AGO,25.296,79.21986301,3.750630137,4.823867123,24.79216438,80.12564384,3.650328767,4.934119178,25.33377049,78.84483607,3.704726776,4.905187432,25.61273973,77.73506849,3.73509589,4.732953699,25.99887671,78.21520548,3.755342466,4.961965753,24.75136986,80.54846575,3.594657534,4.902911781
2003,AGO,25.93975342,77.73578082,3.76630137,4.890187397,25.296,79.21986301,3.750630137,4.823867123,24.79216438,80.12564384,3.650328767,4.934119178,25.33377049,78.84483607,3.704726776,4.905187432,25.61273973,77.73506849,3.73509589,4.732953699,25.99887671,78.21520548,3.755342466,4.961965753
2004,AGO,25.34571038,78.86396175,3.776721311,4.779939891,25.93975342,77.73578082,3.76630137,4.890187397,25.296,79.21986301,3.750630137,4.823867123,24.79216438,80.12564384,3.650328767,4.934119178,25.33377049,78.84483607,3.704726776,4.905187432,25.61273973,77.73506849,3.73509589,4.732953699
2005,AGO,25.43027397,78.56789041,3.80630137,4.641449315,25.34571038,78.86396175,3.776721311,4.779939891,25.93975342,77.73578082,3.76630137,4.890187397,25.296,79.21986301,3.750630137,4.823867123,24.79216438,80.12564384,3.650328767,4.934119178,25.33377049,78.84483607,3.704726776,4.905187432
2006,AGO,25.50876712,77.89476712,3.766575342,5.040256986,25.43027397,78.56789041,3.80630137,4.641449315,25.34571038,78.86396175,3.776721311,4.779939891,25.93975342,77.73578082,3.76630137,4.890187397,25.296,79.21986301,3.750630137,4.823867123,24.79216438,80.12564384,3.650328767,4.934119178
2007,AGO,25.54071233,80.81961644,3.521342466,4.833885479,25.50876712,77.89476712,3.766575342,5.040256986,25.43027397,78.56789041,3.80630137,4.641449315,25.34571038,78.86396175,3.776721311,4.779939891,25.93975342,77.73578082,3.76630137,4.890187397,25.296,79.21986301,3.750630137,4.823867123
2008,AGO,25.64909836,78.34177596,3.508961749,4.969888251,25.54071233,80.81961644,3.521342466,4.833885479,25.50876712,77.89476712,3.766575342,5.040256986,25.43027397,78.56789041,3.80630137,4.641449315,25.34571038,78.86396175,3.776721311,4.779939891,25.93975342,77.73578082,3.76630137,4.890187397
2009,AGO,25.60567123,79.2569589,3.518438356,4.814072603,25.64909836,78.34177596,3.508961749,4.969888251,25.54071233,80.81961644,3.521342466,4.833885479,25.50876712,77.89476712,3.766575342,5.040256986,25.43027397,78.56789041,3.80630137,4.641449315,25.34571038,78.86396175,3.776721311,4.779939891
2010,AGO,25.4209863,80.7050411,3.331452055,4.896898082,25.60567123,79.2569589,3.518438356,4.814072603,25.64909836,78.34177596,3.508961749,4.969888251,25.54071233,80.81961644,3.521342466,4.833885479,25.50876712,77.89476712,3.766575342,5.040256986,25.43027397,78.56789041,3.80630137,4.641449315
2011,AGO,25.20882192,80.23057534,3.30660274,4.664136712,25.4209863,80.7050411,3.331452055,4.896898082,25.60567123,79.2569589,3.518438356,4.814072603,25.64909836,78.34177596,3.508961749,4.969888251,25.54071233,80.81961644,3.521342466,4.833885479,25.50876712,77.89476712,3.766575342,5.040256986
